Raghuveer,Chaudhari,male,https://www.wikidata.org/wiki/Q2769853,https://www.worldcat.org/identities/lccn-n81098217/,NULL 
Chandrakanth,Bakshi,male,https://www.wikidata.org/wiki/Q2672515,https://www.worldcat.org/identities/lccn-n81090492/,NULL 
Suresh,Joshi,male,https://www.wikidata.org/wiki/Q2775930,https://www.wikidata.org/wiki/Q2775930,NULL 
Shreekant Vallabhdas,Shah,male,https://www.wikidata.org/wiki/Special:EntityPage/Q28444864,https://www.worldcat.org/identities/lccn-n83009267/,NULL 
Madhusudan Vallabhdas ,Thaker,male,https://www.wikidata.org/wiki/Special:EntityPage/Q2767865,,NULL 
Ravji Chhotalal ,Patel,male,https://www.wikidata.org/wiki/Q7296791,https://www.worldcat.org/identities/lccn-n84172450/,NULL 
Radheshyam  Sitaram,Sharma,male,https://www.wikidata.org/wiki/Q25757665,https://www.worldcat.org/identities/lccn-n81080090/,NULL 
Jayant,Gadit,male,https://www.wikidata.org/wiki/Q2757495,https://www.worldcat.org/identities/lccn-n85107979/,NULL 
Saroj,Pathak,female,https://www.wikidata.org/wiki/Q2774815,https://www.worldcat.org/identities/lccn-n82047075/,NULL 
Dhiruben,Patel,female,https://www.wikidata.org/wiki/Q2761804,https://www.worldcat.org/identities/lccn-n81126230/,NULL 
Mukund,Parikh,male,https://www.wikidata.org/wiki/Q50377954,https://www.worldcat.org/identities/lccn-n82063459/,NULL 
Labhashankar Jadavji,Thakar,male,https://www.wikidata.org/wiki/Special:EntityPage/Q2771338,https://www.worldcat.org/identities/lccn-n89101925,NULL 
Harindra,Dave,male,https://www.wikidata.org/wiki/Special:EntityPage/Q5657585,https://www.worldcat.org/identities/lccn-n82020348,NULL 
Pinakin Natwarlal,Dave,male,https://www.wikidata.org/wiki/Special:EntityPage/Q37741462,https://www.worldcat.org/identities/lccn-n82012104,NULL 
Manubhai,Pancholi,male,https://www.wikidata.org/wiki/Special:EntityPage/Q2767900,https://www.worldcat.org/identities/lccn-n84028608,NULL 
Jainendra,Kumar,male,https://www.worldcat.org/identities/lccn-n81062202,https://www.worldcat.org/identities/lccn-n81062202,NULL 
Sachchidananda Hirananda Vatsyayan (Agyeya),,male,https://www.wikidata.org/wiki/Special:EntityPage/Q2420084,https://www.worldcat.org/identities/lccn-n50016740,NULL 
Ila Chandra,Joshi,male,NULL ,NULL ,https://umjb.in/gyankosh/ila-chandra-joshi
Amrit Lal,Nagar,male,https://www.wikidata.org/wiki/Special:EntityPage/Q4748691,https://www.worldcat.org/identities/lccn-n81070906,NULL 
Virendra Kumar,Jain,male,NULL ,NULL ,https://en.encyclopediaofjainism.com/index.php/SHRI_VIRENDRA_KUMAR_JAIN
Nirmal,Verma,male,https://www.wikidata.org/wiki/Special:EntityPage/Q1993428,https://www.worldcat.org/identities/lccn-n81117487,NULL 
Sarveshwar Dayal,Saxena,male,https://www.wikidata.org/wiki/Special:EntityPage/Q7424792,https://www.worldcat.org/identities/lccn-n82166588,NULL 
Laxmi Kant,Varma,male,NULL ,NULL ,http://hdl.handle.net/10603/182016
Mohan,Rakesh,male,https://www.wikidata.org/wiki/Special:EntityPage/Q3631800,https://www.worldcat.org/identities/lccn-n83210776,NULL 
Yashpal,,male,https://www.wikidata.org/wiki/Special:EntityPage/Q1148472,https://www.worldcat.org/identities/lccn-n82028425,NULL 
Krishna,Sobti,female,https://www.wikidata.org/wiki/Special:EntityPage/Q3631806,https://www.worldcat.org/identities/lccn-n80131730,NULL 
Kanta,Bharati,NULL ,NULL ,NULL ,NULL 
Krishna,Agnihotri,female,NULL ,NULL ,NULL 
Manu,Bhandari,female,https://www.wikidata.org/wiki/Special:EntityPage/Q3632745,https://www.worldcat.org/identities/lccn-n79066456,NULL 
Rajni,Panikar,NULL ,NULL ,NULL ,NULL 
Usha,Priyamvada,female,NULL ,NULL ,https://bharatdiscovery.org/india/%E0%A4%89%E0%A4%B7%E0%A4%BE_%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%82%E0%A4%B5%E0%A4%A6%E0%A4%BE#gsc.tab=0
Sharda,Mishra,NULL ,NULL ,NULL ,NULL 
Mira,Mahadevan,female,NULL ,NULL ,NULL 
Bindu,Sinha,NULL ,NULL ,NULL ,NULL 
Sushila,Lalwani,female,NULL ,https://www.worldcat.org/identities/lccn-n88124029/,NULL 
Lal,Pushp,male,NULL ,NULL ,https://www.sindhisangat.com/lal_rijhwani.php
Lakhmi,Khilani,male,NULL ,NULL ,https://www.sindhisangat.com/lakshmi-khilani.php
