Rangdwar Prakashan,NULL,private,NULL,NULL
Navbharat Sahitya Mandir,NULL,private,NULL,NULL
ADARSH PRAKASHAN,NULL,private,NULL,NULL
ARUNODAY PRAKASHAN,NULL,private,NULL,NULL
ભગતભાઈ ભુરાલાલ શેઠ (Bhagatbhai Bhuralal Sheth),NULL,NULL,NULL,NULL
Rekha Prakashan,NULL,private,NULL,NULL
R.R. Sheth,NULL,private,NULL,NULL
GUJARATI BOOKS,NULL,NULL,NULL,NULL
Gurjar Granthratna Karyalaya,NULL,NULL,NULL,NULL
Parshwa,NULL,NULL,NULL,NULL
Pūrvodaya Prakāśana,NULL,NULL,NULL,NULL
Lokbharti Prakashan,NULL,NULL,NULL,NULL
Rajpal & Sons,NULL,NULL,NULL,NULL
भारतीय ज्ञानपीठ (Bharatiya Gyaanpeeth),NULL,NULL,NULL,NULL
Vani Prakashan,NULL,NULL,NULL,NULL
Rajkamal Prakashan,NULL,NULL,NULL,NULL
Indraprastha Prakāśana,NULL,NULL,NULL,NULL
Radhakrishna Prakashan,NULL,NULL,NULL,NULL
Sapna Book House,NULL,NULL,NULL,NULL
Shrividya Prakashan,NULL,NULL,NULL,NULL
Continental Prakashan,NULL,NULL,NULL,NULL
Granthali,NULL,NULL,NULL,NULL
Urja Prakashan,NULL,NULL,NULL,NULL
Shabd Publication,NULL,NULL,NULL,NULL
Akshar Prakashan,NULL,NULL,NULL,NULL
Dilipraj Prakashan,NULL,NULL,NULL,NULL
Mouj Prakashan Gruh,NULL,NULL,NULL,NULL
Majestic Publising House,NULL,NULL,NULL,NULL
H.V. Mote Prakashan,NULL,NULL,NULL,NULL
Mehta Publishing House,NULL,NULL,NULL,NULL
Mrunmayi Prakashan,NULL,NULL,NULL,NULL
Popular Prakashan Pvt Ltd,NULL,NULL,NULL,NULL
Majestic Publishing House,NULL,NULL,NULL,NULL
Lokwadgmay grah,NULL,NULL,NULL,NULL
Padmagandha Prakashan,NULL,NULL,NULL,NULL
MOUJ PRAKASHAN,NULL,NULL,NULL,NULL
Arnold-Heinemann ,NULL,NULL,NULL,NULL
Sterling,NULL,NULL,NULL,NULL
Harper Collins,NULL,NULL,NULL,NULL
Orient Paperbacks,NULL,NULL,NULL,NULL
Rupa Publications,NULL,NULL,NULL,NULL
Writers Workshop,NULL,NULL,NULL,NULL
Arnold-Heinemann Publishers,NULL,NULL,NULL,NULL
Ahmed Mohideen,NULL,NULL,NULL,NULL
P.K. Books,NULL,NULL,NULL,NULL
Penguin India,NULL,NULL,NULL,NULL
Sterling Publishers,NULL,NULL,NULL,NULL
Orient Blackswan Private Limited ,NULL,NULL,NULL,NULL
Jaico Publishing,NULL,NULL,NULL,NULL
Passeggiata Pr,NULL,NULL,NULL,NULL
Macmillan,NULL,NULL,NULL,NULL
Penguin Books,NULL,NULL,NULL,NULL
South Asia Books,NULL,NULL,NULL,NULL
Bharatiya Vidya Bhavan,NULL,NULL,NULL,NULL
Sterling Publishers Pvt.Ltd,NULL,NULL,NULL,NULL
Hind Pocket Books,NULL,NULL,NULL,NULL
Sterling  ,NULL,NULL,NULL,NULL
Greenwood Press ,NULL,NULL,NULL,NULL
Asia Publishing House,NULL,NULL,NULL,NULL
Education Supplies Depot,NULL,NULL,NULL,NULL
"John Day Company, Incorporated",NULL,NULL,NULL,NULL
W. W. Norton & Company,NULL,NULL,NULL,NULL
Harper & Row,NULL,NULL,NULL,NULL
Hind Kitabs Limited,NULL,NULL,NULL,NULL
Diparun Bros.,NULL,NULL,NULL,NULL
Not Avail,NULL,NULL,NULL,NULL
Ridge Road,NULL,NULL,NULL,NULL
The Bodley Head Ltd,NULL,NULL,NULL,NULL
Horizon Publishers Private Ltd,NULL,NULL,NULL,NULL
Facet Books International,NULL,NULL,NULL,NULL
