Earthen Lamps,,,1,154,1979,,Sahitya Akademi,https://catalog.princeton.edu/catalog/SCSB-7274361,,,,Mansai na Deeva,,,,,,,,,,,,,,,
Endurance: A Droll Sagar,,,1,,1995,,NULL,,,,,Manvini Bhavai,,Fiction Novel,,,,,,,,,,,,,
Seven Steps in the Sky,,,1,,1994,,NULL,,,,,Saat Pagla Aakash Maan,,Fiction Novel,,,,,,,,,,,,,
Contemporary Gujarati Poetry,,,1,,1972,,NULL,,,,,,,"Poetry, collection",,,,,,,,,,,,,
Na Hanyate,,,2,155,1978,,NULL,,,,,?,,Fiction Novel,,,,,,,,,,,,,
Raghuvansha,,,2,156,1978,,NULL,,,,,?,,Poetry,,,,,,,,,,,,,
Aranyer Dinratri,,,2,157,1983,,NULL,,,,,?,,NULL,,,,,,,,,,,,,
Ajni Soviet Vartao,,Russian Literature,2,51,1977,,NULL,,,,,,,"Fiction, Short Story, Collection",,,,,,,,,,,,,
Hiku Gunah Maaf (One Mischief Pardoned) Sindhi,,,6,158,NULL,,NULL,,,,,,,NULL,,,,,,,,,,,,,
Dharati Khole Pachcho Vale,,,2,203,,,NULL,,,,,Marali Mannige,,NULL,,,,,,,,,,,,,
"Appa Pant - Ek Pravas, Ek Shodh",,,4,159,NULL,,NULL,,,,,A Moment in Time,,NULL,,,,,,,,,,,,,
Rain Through the Night,,,1,160,1973,,Hind Pocket Books,,,,,Rat Bhore Bharisti,,NULL,,,,,,,,,,,,,
The Sins of Appus Mother,,Amma Vandhaal ,1,161,1972,,Orient Paperbacks,,,,,,,NULL,,,,,,,,,,,,,
The Village has no Walls,,,1,162,1959,,NULL,,,,,,,Novel,,,,,,,,,,,,,
Samskara,,,1,163,1977,,Oxford University Press,,,,,,,Novel,,,,,,,,,,,,,
The Skeleton,,,1,164,1977,,Orient,,,,,,,Novel,,,,,,,,,,,,,
Farewell to the Gods,,,1,165,1977,,Orient,,,,,,,Novel,,,,,,,,,,,,,
The Winds of Fire,,,1,165,1977,,Hind Pocket Books,,,,,,,Novel,,,,,,,,,,,,,
Crumpled Letter,,,1,166,2017,,Macmillan India,,,,,Maranottar,,NULL,,,,,,,,,,,,,
To Hell with You,,,1,NULL,NULL,,NULL,,,,,Mitro Marjani,,NULL,,,,,,,,,,,,,
This is not that Dawn,,,1,NULL,NULL,,NULL,,,,,Jootha Sach Duology,,NULL,,,,,,,,,,,,,
Shulamith,,,1,NULL,1975,,Arnold-Heinemann Publishers,https://www.amazon.com/Shulamith-Indian-novels-Meera-Mahadevan/dp/B0006CNMZC,,,,Apna Ghar,,NULL,,,,,,,,,,,,,
Taral Anataral,,,3,NULL,NULL,,NULL,,,,,Taral Anataral,,NULL,,,,,,,,,,,,,
A Corpse In The Well:,,Marathi Dalit Autobiographies,1,167,NULL,,NULL,,,,,,,"Fiction, Non-Fiction",,,,,,,,,,,,,
Baluta,,,1,168,NULL,,Speaking Tiger,,9789385288203,,,Baluta,,NULL,,,,,,,,,,,,,
Upara: An Outsider,,,1,169,NULL,,NULL,,,,,Upara,,NULL,,,,,,,,,,,,,
Upara,,,2,NULL,NULL,,Sahitya Akademi,https://www.amazon.com/Upara-GUJARATI-Laxman-Mane/dp/B003DRNGEY/ref=sr_1_1?dchild=1&keywords=upara&qid=1618441297&s=books&sr=1-1,,B003DRNGEY,,Upara,,NULL,,,,,,,,,,,,,
A Tale with Seven Answers,,,1,170,2014,,National Book Trust,https://www.bookganga.com/eBooks/Books/details/4971922492671899216?BookName=A-Tale-With-Seven-Answers,9788123762524,,,Saat Uttarachi Kahani,,NULL,,,,,,,,,,,,,
Bidhar,,,3,NULL,NULL,,NULL,https://www.amazon.in/Bidhar-Bhalchandra-Nemade/dp/8126702982/ref=sr_1_16?dchild=1&qid=1618457652&refinements=p_27%3ABhalchandra+Nemade&s=books&sr=1-16,,,,Bidhar,,NULL,,,,,,,,,,,,,
Bidhar: On the Move,,,1,171,2016,,Sahitya Akademi,https://www.amazon.com/Bidhar-Bhalchandra-Nemade-Santosh-Bhoomkar/dp/8126028459,9788126028450,,,Bidhar,,NULL,,,,,,,,,,,,,
Azadi,,,8,NULL,1986,,Sahitya Akademi,https://www.amazon.com/Azadi-PUNJABI-Chaman-Nahal/dp/B003FCV7VG,,B003FCV7VG,,Azadi,,NULL,,,,,,,,,,,,,
The Morning After: A Non-Novel,,,1,NULL,1973,,Academic Publishers,https://www.abebooks.com/servlet/BookDetailsPL?bi=14356835452&cm_sp=SEARCHREC-_-WIDGET-L-_-BDP-R&searchurl=an%3Dchanakya%2Bsen%26sortby%3D17,,,,"Rajpath, Janpath",,NULL,,,,,,,,,,,,,
It Rained All Night,,,1,160,NULL,,Penguin,https://www.amazon.in/gp/product/0143067516/ref=x_gr_w_bb_glide_sin?ie=UTF8&tag=x_gr_w_bb_in-21&linkCode=as2&camp=3626&creative=24790,9780143067511,,,Rat Bhore Bharisti,,NULL,,,,,,,,,,,,,
ଏକ ହରିଜନର ମୃତ୍ୟୁ,,,9,172,NULL,,NULL,,,,,Death of a Harijan,,NULL,,,,,,,,,,,,,
Cocoon,,,1,173,1997,,Popular Publication,https://www.amazon.com/Cocoon-Bhalchandra-Nemade/dp/817991819X#customerReviews,9788179918197,,,Kosala,,NULL,,,,,,,,,,,,,
Kosala,,,3,174,1992,,National Book Trust,https://www.amazon.com/Kosla-HINDI-Bhalchandra-Nemade/dp/B003FD0EZ0,,B003FD0EZ0,,,,NULL,,,,,,,,,,,,,
Need,,,5,175,2001,,Sahitya Akademi,https://www.amazon.com/Need-BENGALI-Bhalchandra-Nemade/dp/B003FCYHPY/ref=sr_1_7?dchild=1&qid=1618469857&refinements=p_27%3ABhalchandra+Nemade&s=books&sr=1-7&text=Bhalchandra+Nemade,,B003FCYHPY,,,,NULL,,,,,,,,,,,,,
Kosheto,,,2,176,1995,,National Book Trust,,,,,,,NULL,,,,,,,,,,,,,
Kosala,,,7,177,1995,,National Book Trust,,,,,,,NULL,,,,,,,,,,,,,
Palur Vaah,,,10,178,1996,,National Book Trust,,,,,,,NULL,,,,,,,,,,,,,
Kosala,,,8,179,1996,,National Book Trust,,,,,,,NULL,,,,,,,,,,,,,
Kosala,,,11,180,2002,,National Book Trust,,,,,,,NULL,,,,,,,,,,,,,
Koshapok,,,9,181,2005,,National Book Trust,,,,,,,NULL,,,,,,,,,,,,,
మరల సేద్యానికి,,,12,182,2015,,Hyderabad Book Trust,,9788128010798,,,,,NULL,,,,,,,,,,,,,
Return to Earth,,,1,183,2002,,Sahitya Akademi,https://www.amazon.in/gp/product/8126010657/ref=x_gr_w_bb_sin?ie=UTF8&tag=x_gr_w_bb_in-21&linkCode=as2&camp=3626&creative=24790,9788126010653,,,,,NULL,,,,,,,,,,,,,
Opaja Matir Hat Bauli,,,10,184,2006,,Sahitya Akademi,https://www.indiaclub.com/Opaja-Matir-Hat-Bauli--ASSAMESE_p_409563.html,,B005F5M6I4,,,,NULL,,,,,,,,,,,,,
People,,,1,185,2005,,Other India Press,https://www.amazon.in/gp/product/8185569673/ref=x_gr_w_bb_sin?ie=UTF8&tag=x_gr_w_bb_in-21&linkCode=as2&camp=3626&creative=24790,9788185569673,,,Manasa,,NULL,,,,,,,,,,,,,
Thank you Mr. Glad,,,2,186,NULL,,NULL,NULL,NULL,NULL,,Thanki you Mr. Glad,,NULL,,,,,,,,,,,,,
